sein	be
begabtes	gifted
die Frustration	the frustration
das Medium	the medium
Funktion	function
physisch	physically
der Zuschuss	the grant
unterscheiden	distinguish
die Küste	the shore
wiederholt	repeatedly
die Lunge	the lung
Feste	firm
Laufen	running
verschieden	distinct
künstlerisch	artistic
der Diskurs	the discourse
der Korb	the basket
Ah	ah
beeindruckend	impressive
der Wettbewerber	the competitor
hässlich	ugly
besorgt	worried
porträtieren	portray
das Pulver	the powder
das Gespenst	the ghost
überzeugen	persuade
mäßig	moderate
anschließend	subsequent
Fortsetzung	continued
der Keks	the cookie
die Karriere	the carrier
das Kochen	the cooking
Verbot	ban
die Schaukel	the swing
die Orange	the orange
furchtbar	awful
bewundern	admire
das Haustier	the pet
das Wunder	the miracle
überschreiten	exceed
der Rhythmus	the rhythm
weit verbreitet	widespread
das Töten	the killing
schön	lovely
die Sünde	the sin
die Wohlfahrt	the charity
das Skript	the script
die Taktik	the tactic
die Identifikation	the identification
die Transformation	the transformation
jeden Tag	everyday
die Schlagzeile	the headline
Absturz	crash
die Venture	the venture
die Invasion	the invasion
das Militär	the military
dennoch	nonetheless
angemessene	adequate
das Klavier	the piano
das Lebensmittelgeschäft	the grocery
die Intensität	the intensity
Ausstellungsstück	exhibit
die Decke	the blanket
der Abstand	the margin
Schulleiter	principal
der Quarterback	the quarterback
die Maus	the mouse
das Seil	the rope
Beton	concrete
das Rezept	the prescription
Afroamerikaner	African-American
Verfolgungsjagd	chase
Dokument	document
der Ziegelstein	the brick
rekrutieren	recruit
der Patch	the patch
der Konsens	the consensus
der Horror	the horror
die Aufnahme	the recording
Ändern	changing
der Maler	the painter
kolonial	colonial
der Kuchen	the pie
das Wohl	the sake
der Blick	the gaze
der Mut	the courage
die Schwangerschaft	the pregnancy
schwören	swear
Niederlage	defeat
der Hinweis	the clue
verstärken	reinforce
der Sieg	the win
die Verwirrung	the confusion
die Scheibe	the slice
die Tätigkeit	the occupation
sehr geehrter	dear
die Kohle	the coal
heilig	sacred
der Kriminelle	the criminal
die Formel	the formula
kognitiv	cognitive
Kollektiv	collective
der Onkel	the uncle
das Quadrat	the square
der Kapitän	the captain
Seufzer	sigh
Attribut	attribute
Wagen	dare
obdachlos	homeless
die Gallerie	the gallery
Fußball	the soccer
der Verteidiger	the defendant
der Tunnel	the tunnel
die Fitness	the fitness
die Runde	the lap
das Grab	the grave
die Zehe	the toe
der Kontainer	the container
die Tugend	the virtue
im Ausland	abroad
der Architekt	the architect
dramatisch	dramatically
das Make-Up	the makeup
die Anfrage	the inquiry
die Rose	the rose
überraschenderweise	surprisingly
Markieren	highlight
verringern	decrease
die Angabe	the indication
die Schiene	the rail
der Jahrestag	the anniversary
die Couch	the couch
die Allianz	the alliance
die Hypothese	the hypothesis
der Freund	the boyfriend
komponieren	compose
Peer	peer
die Unordnung	the mess
Rang	rank
die Legende	the legend
regulieren	regulate
der jugendliche	the adolescent
scheinen	shine
die Norm	the norm
verärgert	upset
die Bemerkung	the remark
zurücktreten	resign
die Belohnung	the reward
sanft	gentle
verbunden	related
das Organ	the organ
erfinden	invent
das Lachen	the laughter
der Nordwesten	the northwest
die Beratung	the counseling
der Empfänger	the receiver
das Ritual	the ritual
das Insekt	the insect
unterbrechen	interrupt
der Lachs	the salmon
der Gefallen	the favor
das Handels	the trading
Zauber	magic
überlegen	superior
der Stamm	the stem
der Chirurg	the surgeon
akzeptabel	acceptable
die Physik	the physics
die Vergewaltigung	the rape
der Rat	the counsel
die Bürste	the brush
die Jeans	the jeans
Jagd	hunt
kontinuierlich	continuous
das Protokoll	the log
Echo	echo
die Pille	the pill
aufgeregt	excited
die Skulptur	the sculpture
die Verbindung	the compound
integrieren	integrate
das Mehl	the flour
bitter	bitter
blank	bare
die Piste	the slope
Miete	rent
die Präsidentschaft	the presidency
die Portion	the serving
subtil	subtle
der Bischof	the bishop
das trinken	the drinking
verzögern	delay
der Schrei	the cry
die Akzeptanz	the acceptance
der Kollaps	the collapse
Geschäft	shop
die Pumpe	the pump
die Süßigkeit	the candy
das Böse	the evil
das endgültige	the final
Finanzen	finance
zufrieden	pleased
die Medaille	the medal
bitten	beg
Sponsor	sponsor
ethisch	ethical
Sekundär	secondary
zuschlagen	slam
die Ausfuhr	the export
Experimental	experimental
Schmelze	melt
die Mitternacht	the midnight
Netz	net
die Kurve	the curve
die Integrität	the integrity
berechtigen	entitle
die Logik	the logic
die Essenz	the essence
Park	park
ausschließen	exclude
der Schrank	the closet
Vorort	suburban
grüßen	greet
der Innenraum	the interior
der Korridor	the corridor
Mord	murder
Verkauf	retail
der Krug	the pitcher
März	march
die Schlange	the snake
Tonhöhe	pitch
Ausrede	excuse
das Kreuz	the cross
die Schwäche	the weakness
das Schwein	the pig
die Kälte	the cold
klassisch	classical
das T-Shirt	the T-shirt
die Arbeitslosigkeit	the unemployment
die Zivilisation	the civilization
falten	fold
geduldig	patient
der Pop	the pop
umkehren	reverse
fehlt	missing
die Korrelation	the correlation
die Menschlichkeit	the humanity
Blitz	flash
der Entwickler	the developer
zuverlässig	reliable
die Aufregung	the excitement
der Islam	the Islam
römisch	Roman
die Strecke	the stretch
die Architektur	the architecture
gelegentlich	occasional
administrativ	administrative
der Ellbogen	the elbow
tötlich	deadly
der Muslim	the Muslim
spanisch	Hispanic
Spitze	tip
verwechseln	confuse
monatlich	monthly
die Ente	the duck
die Dosis	the dose
Koreanisch	Korean
plädieren	plead
einleiten	initiate
der Vortrag	the lecture
der Van	the van
sechste	sixth
die Bucht	the bay
Mainstream	mainstream
die Vorstadt	the suburb
das Sandwich	the sandwich
der Kofferraum	the trunk
das Gerücht	the rumor
die Umsetzung	the implementation
schlucken	swallow
motivieren	motivate
lange Zeit	longtime
Falle	trap
beschränken	restrict
die Kleidung	the cloth
scheinbar	seemingly
Gesetzgebungs	legislative
die Wirksamkeit	the effectiveness
erzwingen	enforce
die Linse	the lens
die Reichweite	the reach
der Inspektor	the inspector
verleihen	lend
der Betrug	the fraud
der Begleiter	the companion
kämpfen	contend
der Nagel	the nail
das Array	the array
streng	strict
montieren	assemble
offen	frankly
die Ratte	the rat
platzen	burst
der Flur	the hallway
die Höhle	the cave
unvermeidlich	inevitable
der Südwesten	the southwest
das Monster	the monster
Geschwindigkeit	speed
Protest	protest
unerwartet	unexpected
das Hindernis	the obstacle
erleichtern	facilitate
die Begegnung	the encounter
Ruhe in Frieden	rip
das Kraut	the herb
überwältigend	overwhelming
die Integration	the integration
der Kristall	the crystal
die Rezession	the recession
der Wunsch	the wish
geschrieben	written
das Motiv	the motive
Etikette	label
das Hochwasser	the flood
der Stift	the pen
das eigentum	the ownership
der Albtraum	the nightmare
die Bekanntmachung	the notice
die Inspektion	the inspection
der Vorgesetzte	the supervisor
konsultieren	consult
die Arena	the arena
das Lachen	the laugh
die Diagnose	the diagnosis
der Besitz	the possession
verzeihen	forgive
konsequent	consistently
der Keller	the basement
Projekt	project
Drift	drift
ablassen	drain
die Staatsanwaltschaft	the prosecution
maximal	maximum
die Ankündigung	the announcement
der Krieger	the warrior
die Vorhersage	the prediction
die Bakterien	the bacteria
der Fragebogen	the questionnaire
der Schlamm	the mud
die Infrastruktur	the infrastructure
Eile	hurry
das Privileg	the privilege
der Tempel	the temple
Mittel	medium
draussen	outdoor
saugen	suck
und / oder	and/or
die Sendung	the broadcast
Re	re
Sprung	leap
zufällig	random
das Handgelenk	the wrist
der Vorhang	the curtain
der Monitor	the monitor
der Teich	the pond
die Domain	the domain
die Schuld	the guilt
das Vieh	the cattle
Gegenstand	subject
der gehende	the walking
die Playoff	the playoff
Minimum	minimum
der Rock	the skirt
Müllhalde	dump
daher	hence
die Datenbank	the database
unbequem	uncomfortable
ausführen	execute
die Schenkel	the limb
die Ideologie	the ideology
Melodie	tune
auch weiterhin	continuing
der Schaden	the harm
die Eisenbahn	the railroad
ertragen	endure
die Strahlung	the radiation
das Horn	the horn
chronisch	chronic
friedlich	peaceful
die Innovation	the innovation
die Gitarre	the guitar
der Ersatz	the replacement
sich verhalten	behave
verwalten	administer
gleichzeitig	simultaneously
der Tänzer	the dancer
die Änderung	the amendment
bewachen	guard
das Polster	the pad
die Übertragung	the transmission
erwarten	await
im Ruhestand	retired
auslösen	trigger
verschütten	spill
dankbar	grateful
die Gnade	the grace
virtuell	virtual
Antwort	response
die Kolonie	the colony
die Adoption	the adoption
die Rutsche	the slide
einheimisch	indigenous
geschlossen	closed
überführen	convict
die zivile	the civilian
das Handtuch	the towel
die Partikel	the particle
vergeben	award
der Blick	the glance
der Preis	the prize
die Landung	the landing
das Verhalten	the conduct
das Blaue	the blue
Auftrieb	boost
die Fledermaus	the bat
der Alarm	the alarm
das Fest	the festival
der Griff	the grip
seltsam	weird
untergraben	undermine
der Neuling	the freshman
der Schweiß	the sweat
äußere	outer
das Europäische	the European
betrunken	drunk
Umfrage	survey
Forschung	research
die Trennung	the separation
traditionell	traditionally
Sachen	stuff
regieren	govern
der Südosten	the southeast
intelligent	intelligent
wo auch immer	wherever
die Abstimmung	the ballot
die Rhetorik	the rhetoric
überzeugt	convinced
Fahren	driving
das Vitamin	the vitamin
die Begeisterung	the enthusiasm
unterbringen	accommodate
loben	praise
verletzen	injure
die Wildnis	the wilderness
endlos	endless
das Mandat	the mandate
die Pause	the pause
die Entschuldigung	the excuse
beziehungsweise	respectively
die Unsicherheit	the uncertainty
das Chaos	the chaos
mechanisch	mechanical
die Leinwand	the canvas
vierzig	forty
die Lobby	the lobby
das Format	the format
die Währung	the currency
der Truthahn	the turkey
die Reserve	the reserve
der Strahl	the beam
Missbrauch	abuse
der Astronom	the astronomer
die Korruption	the corruption
der Dienstleister	the contractor
entschuldigen	apologize
die Lehre	the doctrine
Original	genuine
der Daumen	the thumb
die Einheit	the unity
der Kompromiss	the compromise
schrecklich	horrible
Verhaltens	behavioral
exklusiv	exclusive
streuen	scatter
vermitteln	convey
der Ansturm	the rush
Twist	twist
die Komplexität	the complexity
die Gabel	the fork
die Scheibe	the disk
entlasten	relieve
der Verdacht	the suspicion
das Schloss	the lock
das Ende	the finish
die Residenz	the residence
die Schande	the shame
sinnvoll	meaningful
der Bürgersteig	the sidewalk
die Olympischen Spiele	the Olympics
technologisch	technological
die Unterschrift	the signature
angenehm	pleasant
Beeindruckend	wow
aussetzen	suspend
der Rebell	the rebel
gefroren	frozen
Verlangen	desire
der Ehegatte	the spouse
die Flüssigkeit	the fluid
die Rente	the pension
fortsetzen	resume
theoretisch	theoretical
das Natrium	the sodium
der Schlag	the blow
Beförderung	the promotion
zart	delicate
die Stirn	the forehead
wieder aufbauen	rebuild
prallen	bounce
elektrisch	electrical
der Haken	the hook
der Detektiv	the detective
der Reisende	the traveler
klicken	click
die Entschädigung	the compensation
Signal	signal
der Ausgang	the exit
die Attraktion	the attraction
widmen	dedicate
insgesamt	altogether
der Ladewagen	the pickup
schnitzen	carve
die Nadel	the needle
der Bauch	the belly
Schiff	ship
Schrecken	scare
das Portfolio	the portfolio
das Shuttle	the shuttle
unsichtbar	invisible
das Timing	the timing
die Verlobung	the engagement
der Knöchel	the ankle
die Transaktion	the transaction
Rettung	rescue
das Gegenstück	the counterpart
mild	mild
der Fahrer	the rider
die Puppe	the doll
der Mittag	the noon
die Ausstellung	the exhibit
inmitten	amid
identisch	identical
präzise	precise
Ängstlich	anxious
strukturell	structural
Wohn	residential
diagnostizieren	diagnose
das Kohlenhydrat	the carbohydrate
die Freiheit	the liberty
das Poster	the poster
die Theologie	the theology
gemeinnützig	nonprofit
kriechen	crawl
der Sauerstoff	the oxygen
gut aussehend	handsome
die Magie	the magic
die Summe	the sum
unter der Voraussetzung	provided
der Geschäftsmann	the businessman
viel versprechend	promising
bewusst	conscious
die Entschlossenheit	the determination
der Spender	the donor
ihres	hers
der Pfarrer	the pastor
der Jazz	the jazz
die Oper	the opera
die Japaner	the Japanese
der Biss	the bite
Rahmen	frame
böse	evil
der Erwerb	the acquisition
die Grube	the pit
Umarmung	hug
das wilde Leben	the wildlife
bestrafen	punish
der Riese	the giant
der primäre	the primary
das Eigenkapital	the equity
die Tür	the doorway
die Abfahrt	the departure
der Aufzug	the elevator
Teenager	teenage
die Fröhlichkeit	the happiness
die Statue	the statue
die Verfolgung	the pursuit
die Reparatur	the repair
anständig	decent
das Fitnesscenter	the gym
Oral	oral
der Angestellte	the clerk
die israelische	the Israeli
der Briefumschlag	the envelope
die Meldung	the reporting
die Faust	the fist
billig	endorse
die Erforschung	the exploration
großzügig	generous
das Bad	the bath
die Rettung	the rescue
der Indikator	the indicator
das Sonnenlicht	the sunlight
die Rückmeldung	the feedback
das Spektrum	the spectrum
lila	purple
der Laser	the laser
Fett gedruckt	bold
widerstrebend	reluctant
Ausgangs	the starting
das Know-how	the expertise
praktisch	practically
Programm	program
Bild	picture
die Melodie	the tune
das Essen	the eating
Alter	age
Freiwillige	volunteer
der Hinweis	the hint
scharf	sharply
die Parade	the parade
befürworten	advocate
das Reich	the realm
das Verbot	the ban
Streifen	strip
stornieren	cancel
Mischung	blend
der Therapeut	the therapist
Scheibe	slice
schälen	peel
die Pizza	the pizza
der Empfänger	the recipient
zögern	hesitate
Flip	flip
die Buchhaltung	the accounting
Debatte	debate
die Bias	the bias
huh	huh
die Metapher	the metaphor
die Kerze	the candle
der Griff	the handle
die Sorge	the worry
Justiz	judicial
das Leiden	the suffering
Vollzeit	full-time
die Lampe	the lamp
der Müll	the garbage
der Diener	the servant
die Zugabe	the addition
Regulierungs	regulatory
diplomatisch	diplomatic
elegant	elegant
das Innere	the inside
die Rezeption	the reception
verschwinden	vanish
automatisch	automatically
das Kinn	the chin
die Notwendigkeit	the necessity
bekennen	confess
der Rassismus	the racism
der Beginner	the starter
Innere	interior
das Banken	the banking
beiläufig	casual
die Schwerkraft	the gravity
einschreiben	enroll
verringern	diminish
die Prävention	the prevention
die arabischen	the Arab
Wert	value
minimieren	minimize
hacken	chop
der Darsteller	the performer
isolieren	isolate
Pumpe	pump
das Inventar	the inventory
produktiv	productive
die Versammlung	the assembly
bürgerlich	civic
die Seide	the silk
die Größenordnung	the magnitude
steil	steep
die Geisel	the hostage
der Sammler	the collector
die Beliebtheit	the popularity
der Kuss	the kiss
das Alien	the alien
dynamisch	dynamic
unheimlich	scary
die gleichung	the equation
der Engel	the angel
der Schalter	the switch
das Angebot	the offering
die Wut	the rage
die Fotografie	the photography
Reparatur	repair
die Toilette	the toilet
enttäuscht	disappointed
kostbar	precious
verbieten	prohibit
Vertreter	representative
Inhalt	content
realistisch	realistic
der Russe	the Russian
versteckt	hidden
Befehl	command
zärtlich	tender
die wake	the wake
die Versammlung	the gathering
hervorragend	outstanding
stolpern	stumble
einsam	lonely
das Automobil	the automobile
künstlich	artificial
die Morgendämmerung	the dawn
abstrakt	abstract
absteigen	descend
dumm	silly
Haken	hook
die Gezeiten	the tide
gemeinsam genutzt	shared
hoffnungsvoll	hopefully
kooperieren	cooperate
Revolutionär	revolutionary
die Romanze	the romance
die Hardware	the hardware
das Kissen	the pillow
der Koch	the cook
die Verbreitung	the spread
der Kontinent	the continent
Dichtung	seal
die Rennbahn	the circuit
das Waschbecken	the sink
die Regelung	the ruling
der Mangel	the shortage
jährlich	annually
in letzter Zeit	lately
die Falle	the trap
Scan	scan
der Dummkopf	the fool
die Deadline	the deadline
Rückseite	rear
das Verarbeiten	the processing
die Ranch	the ranch
Küsten	coastal
unternehmen	undertake
leise	softly
Reservieren	reserve
Verbrennung	burning
verbal	verbal
Stammes	tribal
lächerlich	ridiculous
automatisch	automatic
der Diamant	the diamond
die Glaubwürdigkeit	the credibility
der Import	the import
sexuell	sexually
Frühling	spring
göttlich	divine
die Stimmung	the sentiment
der Wagen	the cart
überwachen	oversee
Stengel	stem
die Ältesten	the elder
die pro	the pro
die Inspiration	the inspiration
Niederländisch	Dutch
die Quantität	the quantity
der Trailer	the trailer
der Steuermann	the mate
Uhr	o'clock
griechisch	Greek
das Genie	the genius
das Monument	the monument
das Streben	the quest
das Opfer	the sacrifice
die Einladung	the invitation
die Genauigkeit	the accuracy
der Juror	the juror
offiziell	officially
der Broker	the broker
der Schatz	the treasure
die Loyalität	the loyalty
Kredit	credit
Schock	shock
talentiert	talented
das Benzin	the gasoline
steif	stiff
die Ausgabe	the output
der Kandidat	the nominee
verlängert	extended
der Diabetes	the diabetes
giftig	toxic
angeblich	alleged
der Kiefer	the jaw
die Trauer	the grief
mysteriös	mysterious
die Rakete	the rocket
spenden	donate
der Insasse	the inmate
angehen	tackle
die Dynamik	the dynamics
der Bogen	the bow
unsere	ours
der Senior	the senior
die Würde	the dignity
der Teppich	the carpet
Eltern	parental
die Blase	the bubble
Hitze	heat
der Kumpel	the buddy
die Scheune	the barn
das Schwert	the sword
der Blitz	the flash
siebte	seventh
die Herrlichkeit	the glory
dicht	tightly
Schutz	protective
stecken	tuck
die Trommel	the drum
Ohnmacht	faint
Post	post
die Königin	the queen
das Dilemma	the dilemma
die Eingabe	the input
sich spezialisieren	specialize
der Nordosten	the northeast
flach	shallow
die Haftung	the liability
Segel	sail
der Händler	the merchant
das Stadium	the stadium
verbessert	improved
blutig	bloody
die Niederlage	the defeat
damit verbundenen	associated
der Rückzug	the withdrawal
der Kühlschrank	the refrigerator
das Nest	the nest
gründlich	thoroughly
die Spur	the lane
Vorfahr	the ancestor
verurteilen	condemn
der Dampf	the steam
der Akzent	the accent
die Flucht	the escape
optimistisch	optimistic
Vereinen	unite
der Käfig	the cage
ausrüsten	equip
die Krabbe	the shrimp
das Heimatland	the homeland
Austausch	exchange
das Regal	the rack
das Kostüm	the costume
der Wolf	the wolf
das Statut	the statute
der Cartoon	the cartoon
die Produktivität	the productivity
Grinsen	grin
symbolisch	symbolic
die Dichtung	the seal
segnen	bless
die Tante	the aunt
die Landwirtschaft	the agriculture
Rock	rock
feindlich	hostile
Wurzel	root
konzipieren	conceive
kombiniert	combined
sofort	instantly
der Konkurs	the bankruptcy
der Impfstoff	the vaccine
der Bonus	the bonus
die Zusammenarbeit	the collaboration
gemischt	mixed
entgegengesetzt	opposed
die Umlaufbahn	the orbit
Griff	grasp
die Geduld	the patience
trotz	spite
tropisch	tropical
die Abstimmung	the voting
die Patrouille	the patrol
die Bereitschaft	the willingness
Position	position
die Offenbarung	the revelation
die Miete	the rent
Ruhe	calm
der Schmuck	the jewelry
kubanisch	Cuban
schleppen	haul
zugeben	concede
die Spur	the trace
der Wagen	the wagon
nachher	afterward
spektakulär	spectacular
Ruine	ruin
schier	sheer
immun	immune
die Verlässlichkeit	the reliability
der Esel	the ass
neben	alongside
der Busch	the bush
exotisch	exotic
faszinierend	fascinating
der Clip	the clip
die Hüfte	the thigh
der Stier	the bull
die Schublade	the drawer
das Schaf	the sheep
entmutigen	discourage
der Koordinator	the coordinator
ideologisch	ideological
der Läufer	the runner
weltlich	secular
intim	intimate
das Reich	the empire
das Taxi	the cab
Scheidung	divorce
die Dokumentation	the documentary
neutral	neutral
die Biologie	the biology
flexibel	flexible
progressiv	progressive
das Netz	the web
die Verschwörung	the conspiracy
der Fang	the catch
der Unfall	the casualty
die Republik	the republic
die Hinrichtung	the execution
großartig	terrific
der Wal	the whale
funktional	functional
Star	star
Entwurf	draft
der Instinkt	the instinct
der Mitspieler	the teammate
das Aluminium	the aluminum
wer auch immer	whoever
das Ministerium	the ministry
das Urteil	the verdict
anweisen	instruct
der Schädel	the skull
das Selbstwertgefühl	the self-esteem
die Leichtigkeit	the ease
Kooperative	cooperative
manipulieren	manipulate
die Biene	the bee
der Praktiker	the practitioner
die Schleife	the loop
bearbeiten	edit
Peitsche	whip
das Puzzle	the puzzle
der Pilz	the mushroom
die Subvention	the subsidy
Kochen	boil
tragisch	tragic
die Mathematik	the mathematics
der Mechaniker	the mechanic
das Gefäss	the jar
das Erdbeben	the earthquake
das Schweinefleisch	the pork
die Kreativität	the creativity
zugrunde liegenden	underlying
das Dessert	the dessert
die Sympathie	the sympathy
der Fischer	the fisherman
unglaublich	incredibly
die Isolierung	the isolation
die Socke	the sock
der Sprung	the jump
elf	eleven
sexy	sexy
der Unternehmer	the entrepreneur
das Syndrom	the syndrome
das Büro	the bureau
Sitz	seat
der Arbeitsplatz	the workplace
der Ehrgeiz	the ambition
die Landung	the touchdown
nutzen	utilize
die Brise	the breeze
teuer	costly
ehrgeizig	ambitious
das Christentum	the Christianity
vermutlich	presumably
einflussreich	influential
die Übersetzung	the translation
unsicher	uncertain
sich auflösen	dissolve
Objekt	object
statistisch	statistical
die Eingeweide	the gut
Metropolitan	metropolitan
Roll	rolling
ästhetisch	aesthetic
buchstabieren	spell
einfügen	insert
die Kabine	the booth
der Helm	the helmet
die Taille	the waist
erwartet	expected
der Löwe	the lion
die Vollendung	the accomplishment
königlich	royal
die Panik	the panic
die Besetzung	the cast
zerquetschen	crush
aktiv	actively
die Klippe	the cliff
minimal	minimal
die Schnur	the cord
glücklicherweise	fortunately
das Kokain	the cocaine
die Illusion	the illusion
anonym	anonymous
tolerieren	tolerate
die Aufwertung	the appreciation
der Kommissar	the commissioner
Schaden	harm
die Flexibilität	the flexibility
Lehr	instructional
Gerangel	scramble
das Casino	the casino
der Tumor	the tumor
schmücken	decorate
Sortieren	sort
der Puls	the pulse
das Äquivalent	the equivalent
erfahren	experienced
die Spende	the donation
das Tagebuch	the diary
das Geschwister	the sibling
die Ironie	the irony
der Löffel	the spoon
die Mitte	the midst
die Gasse	the alley
interagieren	interact
die Seife	the soap
niedlich	cute
der Rivale	the rival
kurzfristig	short-term
der Stecker	the pin
das Hockey	the hockey
Vorbeigehen	passing
fortdauern	persist
der Zulieferer	the supplier
bekannt	known
das Momentum	the momentum
der Geldbeutel	the purse
Schuppen	shed
die Flüssigkeit	the liquid
das Symbol	the icon
der Elefant	the elephant
Folglich	consequently
der Gesetzgeber	the legislature
die Gesellschafter	the associate
das Franchise	the franchise
korrekt	correctly
fördern	foster
das Fahrrad	the bicycle
ermutigend	encouraging
betrügen	cheat
Zugriff	access
heilen	heal
das Fieber	the fever
der Filter	the filter
das Kaninchen	the rabbit
die Münze	the coin
Ausbeuten	exploit
zugänglich	accessible
der Organismus	the organism
die Sensation	the sensation
teilweise	partially
der Aufenthalt	the stay
nach oben	upstairs
getrocknet	dried
das Minimum	the minimum
Profi	pro
die Erhaltung	the conservation
schieben	shove
der Hinterhof	the backyard
die Charta	the charter
der Herd	the stove
die Zustimmung	the consent
umfassen	comprise
die Erinnerung	the reminder
die Platzierung	the placement
der Teig	the dough
der Enkel	the grandchild
der Damm	the dam
wie verlautet	reportedly
sehr bekannt	well-known
Umgebung	surrounding
ökologisch	ecological
das Outfit	the outfit
beispiellos	unprecedented
der Kolumnist	the columnist
das Training	the workout
vorläufig	preliminary
das Patent	the patent
schüchtern	shy
das Zitat	the quote
behindert	disabled
brutto	gross
Verdammt	damn
das Hormon	the hormone
die Textur	the texture
Zähler	counter
der Bleistift	the pencil
der Frontmann	the frontier
das Spray	the spray
die Wette	the bet
bekannt geben	disclose
die Verwahrung	the custody
der Banker	the banker
das Biest	the beast
einmischen	interfere
die Eiche	the oak
Fall	case
achte	eighth
das Notebook	the notebook
Gliederung	outline
Blick	gaze
die Anwesenheit	the attendance
die Spekulation	the speculation
aufdecken	uncover
Namen	behalf
innovativ	innovative
der Hai	the shark
Belohnung	reward
die Mühle	the mill
die Installation	the installation
stimulieren	stimulate
der Tag	the tag
vertikal	vertical
das Schwimmen	the swimming
die Flotte	the fleet
der Katalog	the catalog
der Aussenseiter	the outsider
Opfern	sacrifice
verzweifelt	desperately
die Haltung	the stance
zwingen	compel
die Empfindlichkeit	the sensitivity
irgendwann mal	someday
sofortig	instant
das Debüt	the debut
proklamieren	proclaim
weltweit	worldwide
Wanderung	hike
erforderlich	required
die Konfrontation	the confrontation
bunt	colorful
das Ideal	the ideal
die Verfassung	the constitution
der Trainer	the trainer
die Danksagung	the Thanksgiving
der Duft	the scent
der Stapel	the stack
die Augenbraue	the eyebrow
der Sack	the sack
aufhören	cease
erben	inherit
die Schale	the tray
der Pionier	the pioneer
organisatorisch	organizational
das Textbuch	the textbook
uh	uh
böse	nasty
schrumpfen	shrink
Modell	model
entstehenden	emerging
der Punkt	the dot
das Weizen	the wheat
rational	rational
das Königreich	the kingdom
der Gang	the aisle
schwächen	weaken
das Protokoll	the protocol
ausschließlich	exclusively
Vokal	vocal
der Markt	the marketplace
offen	openly
unfair	unfair
das Gelände	the terrain
einsetzen	deploy
riskant	risky
die Pasta	the pasta
das Genre	the genre
ablenken	distract
das Verdienst	the merit
der Planer	the planner
deprimiert	depressed
der Chunk	the chunk
nächste	closest
der Rabatt	the discount
die Leiter	the ladder
der Dschungel	the jungle
die Migration	the migration
die Atmung	the breathing
einfallen	invade
der Hurricane	the hurricane
der Einzelhändler	the retailer
klassifizieren	classify
Wunde	wound
der Coup	the coup
Hilfe	aid
der Botschafter	the ambassador
die Dichte	the density
stützend	supportive
die Neugier	the curiosity
überspringen	skip
die Aggression	the aggression
der Reiz	the stimulus
der Journalismus	the journalism
der Roboter	the robot
Flut	flood
tauchen	dip
Gleichfalls	likewise
informell	informal
persisch	Persian
die Feder	the feather
die Sphäre	the sphere
spannen	tighten
Prahlerei	boast
klopfen	pat
wahrgenommen	perceived
die Werbung	the publicity
der Bürgermeister	the major
entfalten	unfold
Scherz	joke
das Wohlergehen	the well-being
die Gültigkeit	the validity
das Ökosystem	the ecosystem
streng	strictly
der Kragen	the collar
das Gras	the weed
die Einhaltung	the compliance
der Streifen	the streak
angeblich	supposedly
hinzugefügt	added
der Bauarbeiter	the builder
die Voraussetzung	the premise
die Spezialität	the specialty
erachten	deem
das Artefakt	the artifact
schleichen	sneak
der Affe	the monkey
der Mentor	the mentor
zwei Drittel	two-thirds
der Zuhörer	the listener
der Blitz	the lightning
rechtlich	legally
der Ärmel	the sleeve
die Enttäuschung	the disappointment
stören	disturb
die Rippe	the rib
überhöht	excessive
Hightech	high-tech
die Trümmer	the debris
Haufen	pile
die Stange	the rod
logisch	logical
die liberale	the liberal
die Asche	the ash
sozial	socially
die Pfarrei	the parish
die Sklaverei	the slavery
leer	blank
die Ware	the commodity
die Heilung	the cure
das Mineral	the mineral
der Hunger	the hunger
sterbend	dying
Entwicklungs	developmental
schneller	faster
schonen	spare
auf halber Strecke	halfway
heilen	cure
die Gleichheit	the equality
der Friedhof	the cemetery
die Belästigung	the harassment
die Berühmtheit	the fame
Bedauern	regret
auffallend	striking
die Wahrscheinlichkeit	the likelihood
die Karotte	the carrot
oben auf	atop
die Maut	the toll
der Rand	the rim
verlegen	embarrassed
Ficken	fucking
haften	cling
isoliert	isolated
blinken	blink
verdächtig	suspicious
der Rollstuhl	the wheelchair
berechtigt	eligible
der Prozessor	the processor
stürzen	plunge
der Sponsor	the sponsor
das Grinsen	the grin
Farbe	color
demographisch	demographic
Regen	rain
die Kälte	the chill
die Zuflucht	the refuge
steuern	steer
der Gesetzgeber	the legislator
die Rallye	the rally
die Programmierung	the programming
jubeln	cheer
der Abfluss	the outlet
intakt	intact
der Verkäufer	the vendor
gedeihen	thrive
die Erdnuss	the peanut
kauen	chew
erarbeiten	elaborate
der Intellektuelle	the intellectual
die Konzeption	the conception
die Auktion	the auction
das Steak	the steak
erfüllen	comply
der Triumph	the triumph
der Aktionär	the shareholder
vergleichbar	comparable
Transport	transport
das Gewissen	the conscience
die Berechnung	the calculation
das Intervall	the interval
kratzen	scratch
Erwachen	awake
die Zuständigkeit	the jurisdiction
zwangsläufig	inevitably
Feminist	feminist
die Einschränkung	the constraint
emotional	emotionally
die Expedition	the expedition
Kompromiss	compromise
Belastung	strain
die Ähnlichkeit	the similarity
der Hintern	the butt
der Deckel	the lid
Dumm	dumb
der Großteil	the bulk
streuen	sprinkle
die Sterblichkeit	the mortality
philosophisch	philosophical
